spacer_mm,leg,pose,spin_deg,gap_mm,collision
0,front_r,neutral,0.0,33.06623909130847,False
0,front_r,neutral,2.0,32.928193200984396,False
0,front_r,neutral,4.0,32.728785427516975,False
0,front_r,neutral,6.0,32.52775150585917,False
0,front_r,neutral,8.0,32.25983051568152,False
0,front_r,neutral,10.0,31.96995364974392,False
0,front_r,neutral,12.0,31.646273070068744,False
0,front_r,neutral,14.0,31.262655504965945,False
0,front_r,neutral,16.0,30.879190702386403,False
0,front_r,neutral,18.0,30.434895619086046,False
0,front_r,neutral,20.0,29.961202654052194,False
0,front_r,neutral,22.0,29.465275319011745,False
0,front_r,neutral,24.0,28.90227394029534,False
0,front_r,neutral,26.0,28.332049668949285,False
0,front_r,neutral,28.0,27.699167442819753,False
0,front_r,neutral,30.0,27.050994394383206,False
0,front_r,neutral,32.0,26.37029590864294,False
0,front_r,neutral,34.0,25.635350833719592,False
0,front_r,neutral,36.0,24.938116439484975,False
0,front_r,neutral,38.0,24.313238377945584,False
0,front_r,neutral,40.0,23.757152231133492,False
0,front_r,neutral,42.0,23.188041560067244,False
0,front_r,neutral,44.0,22.61714632581811,False
0,front_r,neutral,46.0,22.05200292079477,False
0,front_r,neutral,48.0,21.478325361114592,False
0,front_r,neutral,50.0,20.89547267658489,False
0,front_r,neutral,52.0,20.314813247779668,False
0,front_r,neutral,54.0,19.740546667163713,False
0,front_r,neutral,56.0,19.161128884154234,False
0,front_r,neutral,58.0,18.576904845375957,False
0,front_r,neutral,60.0,17.993209304998473,False
0,front_r,neutral,62.0,17.419070325018623,False
0,front_r,neutral,64.0,16.852674426269544,False
0,front_r,neutral,66.0,16.289097653018423,False
0,front_r,neutral,68.0,15.72976650031773,False
0,front_r,neutral,70.0,15.176264757072918,False
0,front_r,neutral,72.0,14.628132259539264,False
0,front_r,neutral,74.0,14.088819648117102,False
0,front_r,neutral,76.0,13.560832335072794,False
0,front_r,neutral,78.0,13.039415539167088,False
0,front_r,neutral,80.0,12.524150592702071,False
0,front_r,neutral,82.0,12.016266515725027,False
0,front_r,neutral,84.0,11.516982812950687,False
0,front_r,neutral,86.0,11.02750595399959,False
0,front_r,neutral,88.0,10.549000156497657,False
0,front_r,neutral,90.0,10.082886178081921,False
0,front_r,neutral,92.0,9.631166491008734,False
0,front_r,neutral,94.0,9.194398164290039,False
0,front_r,neutral,96.0,8.773387654537462,False
0,front_r,neutral,98.0,8.37195077072844,False
0,front_r,neutral,100.0,7.992058704183519,False
0,front_r,neutral,102.0,7.634880042318551,False
0,front_r,neutral,104.0,7.219575692477946,False
0,front_r,neutral,106.0,6.661378492746509,False
0,front_r,neutral,108.0,6.113572510695597,False
0,front_r,neutral,110.0,5.574173959943182,False
0,front_r,neutral,112.0,5.044394638666309,False
0,front_r,neutral,114.0,4.52542766082569,False
0,front_r,neutral,116.0,4.018433964599068,False
0,front_r,neutral,118.0,3.524639697851627,False
0,front_r,neutral,120.0,3.0456649404930793,False
0,front_r,neutral,122.0,2.582009632589301,False
0,front_r,neutral,124.0,2.134460734872517,False
0,front_r,neutral,126.0,1.7231103191724237,False
0,front_r,neutral,128.0,1.3337977821009581,False
0,front_r,neutral,130.0,0.9623835625122282,False
0,front_r,neutral,132.0,0.609788860726202,False
0,front_r,neutral,134.0,0.27690847231804205,False
0,front_r,neutral,136.0,0.0,True
0,front_r,neutral,138.0,0.0,True
0,front_r,neutral,140.0,0.0,True
0,front_r,neutral,142.0,0.0,True
0,front_r,neutral,144.0,0.0,True
0,front_r,neutral,146.0,0.0,True
0,front_r,neutral,148.0,0.0,True
0,front_r,neutral,150.0,0.0,True
0,front_r,neutral,152.0,0.0,True
0,front_r,neutral,154.0,0.0,True
0,front_r,neutral,156.0,0.0,True
0,front_r,neutral,158.0,0.0,True
0,front_r,neutral,160.0,0.0,True
0,front_r,neutral,162.0,0.0,True
0,front_r,neutral,164.0,0.0,True
